"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F5","F5 Agonistic Threshold","assertive","diffident","active",0.4777,0.330730192307692,0.146969807692308,0.4777,0.330730192307692,"z","in","out",4,52,0.443889005026296,0.675,5.34785075659948,-0.68775453334843,0.981694148733045,"T-test","two.sided",0.894,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","affectionate",0.953866666666667,0.223914255319149,0.729952411347518,0.953866666666667,0.223914255319149,"z","in","out",9,47,1.50651697391477,0.163,10.0672559411736,-0.34867048755769,1.80857531025273,"T-test","two.sided",0.698571428571429,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","alert",-0.45989,0.4373622,-0.8972522,-0.45989,0.4373622,"z","in","out",6,50,-2.51910035877049,0.0355,8.09423957912327,-1.71694230338207,-0.0775620966179291,"T-test","two.sided",0.383076923076923,"ns","assertive"
"F5","F5 Agonistic Threshold","assertive","diffident","bright_clever_intelligent_smart_very smart",0.323722272727273,0.352555294117647,-0.0288330213903744,0.323722272727273,0.352555294117647,"z","in","out",22,34,-0.0871326181571119,0.931,40.8479281918252,-0.697194117691157,0.639528074910409,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","calm",1.4056125,0.259352307692308,1.14626019230769,1.4056125,0.259352307692308,"z","in","out",4,52,1.45677139073552,0.235,3.2428433205271,-1.25503274496892,3.5475531295843,"T-test","two.sided",0.783333333333333,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","charming",0.1534075,0.355675769230769,-0.202268269230769,0.1534075,0.355675769230769,"z","in","out",4,52,-0.406754897145776,0.706,3.78199763905143,-1.6148795030313,1.21034296456976,"T-test","two.sided",0.894,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","curious",0.09124,0.360457884615385,-0.269217884615385,0.09124,0.360457884615385,"z","in","out",4,52,-0.425646862570059,0.696,3.43795952053612,-2.14452197272261,1.60608620349184,"T-test","two.sided",0.894,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","devoted_loyal",0.23222,0.359396041666667,-0.127176041666667,0.23222,0.359396041666667,"z","in","out",8,48,-0.373079775128412,0.715,12.7633082345545,-0.864996704159426,0.610644620826093,"T-test","two.sided",0.894,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","energetic_exuberant_lively_peppy",0.627354285714286,0.300352857142857,0.327001428571429,0.627354285714286,0.300352857142857,"z","in","out",7,49,0.650980409741985,0.534,7.54336638371191,-0.843673600193873,1.49767645733673,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F5","F5 Agonistic Threshold","assertive","diffident","friendly",0.519010833333333,0.292741818181818,0.226269015151515,0.519010833333333,0.292741818181818,"z","in","out",12,44,0.651470748819258,0.522,20.1806484427286,-0.497812896791312,0.950350927094343,"T-test","two.sided",0.843157894736842,"ns","neutral"
